instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0.0;1010.8
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;0;64;66;3.03;3000.03
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;54;0.0;365.35
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0.0;15.17
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;52;0.0;906.89
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;0;41;47;12.77;3000.03
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0.0;13.82
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;0;33;40;17.5;3000.05
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;49;0.0;77.02
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;53;0.0;2664.35
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0.0;15.74
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0.0;19.24
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0.0;1.15
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0.0;110.63
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0.0;1.49
